paper_id,title,year,citation_count,references
W2582743722,R: A Language and Environment for Statistical Computing,2000,352818,[]
W2194775991,Deep Residual Learning for Image Recognition,2016,217043,"['W194249466', 'W639708223', 'W1530872699', 'W1533861849', 'W1536680647', 'W1554663460', 'W1665214252', 'W1677182931', 'W1686810756', 'W1690739335', 'W1799366690', 'W1811843574', 'W1836465849', 'W1861492603', 'W1903029394', 'W1904365287', 'W1932624639', 'W1932847118', 'W1976921161', 'W1984309565', 'W1997542937', 'W2022532533', 'W2025357764', 'W2031489346', 'W2064675550', 'W2066941820', 'W2097117768', 'W2102605133', 'W2107878631', 'W2117539524', 'W2117812871', 'W2124509324', 'W2125930537', 'W2139398462', 'W2147238549', 'W2147800946', 'W2152424459', 'W2155893237', 'W2159979951', 'W2161388792', 'W2163605009', 'W2168894214', 'W2179352600', 'W2206858481', 'W2328425223', 'W2613718673', 'W2914484425', 'W2950094539', 'W2950621961', 'W2951603627', 'W2952009708', 'W2962835968', 'W2963504252', 'W2963542991', 'W2964103341', 'W2964118293', 'W3037950864', 'W3038058348', 'W3118608800', 'W4212915314', 'W4231990273', 'W4238404964', 'W4242212377', 'W4285719527', 'W4388297464', 'W6620707391', 'W6626481562', 'W6629368666', 'W6631943919', 'W6637242042', 'W6637373629', 'W6637551013', 'W6638667902', 'W6639102338', 'W6640036494', 'W6676338569', 'W6680555419', 'W6682359208', 'W6684191040', 'W6688059459', 'W6787972765']"
W2107277218,Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2−ΔΔCT Method,2001,178717,"['W1566892773', 'W1756433044', 'W1983241347', 'W2014588425', 'W2069943574', 'W2109970232', 'W2123325948', 'W2128088040', 'W2134343377', 'W2145879504', 'W2164578725', 'W4232459722']"
W1979290264,Using thematic analysis in psychology,2006,174503,"['W63354357', 'W112543455', 'W313817253', 'W562316309', 'W566876742', 'W608867269', 'W626432139', 'W643364029', 'W649187066', 'W1505468096', 'W1513874694', 'W1556808170', 'W1557001362', 'W1557459633', 'W1562475572', 'W1563955948', 'W1566585837', 'W1576460547', 'W1580776188', 'W1584498776', 'W1655340480', 'W1658908529', 'W1785520540', 'W1915092452', 'W1936633569', 'W1938990613', 'W1951008065', 'W1965024675', 'W1975924558', 'W1983513333', 'W1987902104', 'W1988142773', 'W1993209814', 'W2005715120', 'W2009222294', 'W2010381355', 'W2015564674', 'W2017217481', 'W2024228567', 'W2027813651', 'W2028406607', 'W2028834323', 'W2031008034', 'W2033188470', 'W2037687914', 'W2048752781', 'W2063476230', 'W2073846633', 'W2083708617', 'W2093790434', 'W2099844274', 'W2106161974', 'W2106357576', 'W2123828761', 'W2133209806', 'W2136741619', 'W2138502971', 'W2149997269', 'W2170586945', 'W2170816415', 'W2292089056', 'W2333291448', 'W2390008750', 'W2502071815', 'W2503234244', 'W2506528515', 'W2740133093', 'W2782878764', 'W2909113352', 'W3014310266', 'W3147940169', 'W4214539220', 'W4231105677', 'W4233813450', 'W4248970100', 'W4285719527', 'W4315817451', 'W4379793982', 'W4404664610', 'W6633398628', 'W6633896363', 'W6640570669', 'W6725204990', 'W6759588817', 'W7055452270']"
W2144634347,Molecular Cloning: A Laboratory Manual,1989,129982,[]
W2911964244,Random Forests,2001,121311,"['W1507255258', 'W1580948147', 'W1605688901', 'W1975846642', 'W2067885219', 'W2077200366', 'W2099968818', 'W2112076978', 'W2113242816', 'W2120240539', 'W2152761983', 'W2335925837', 'W2912934387', 'W3122510419', 'W7024935943', 'W7025168525']"
W2110065044,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995,106515,"['W1976018371', 'W1977833499', 'W1997917263', 'W2003972391', 'W2036714085', 'W2054264388', 'W2063093012', 'W2099107563', 'W2103163020', 'W2107115446', 'W2115012618', 'W2121044470', 'W2123830992', 'W2148483969', 'W4205210034', 'W4240455808', 'W6644864867', 'W6678230397']"
W2071666535,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,1999,102711,"['W7600810', 'W143399821', 'W1967694172', 'W1968524945', 'W1971410477', 'W1972018933', 'W1972135487', 'W1983098731', 'W1989653554', 'W1992193527', 'W1994263489', 'W1999821292', 'W2004288406', 'W2005092827', 'W2006779932', 'W2008844726', 'W2011267414', 'W2013763545', 'W2014543370', 'W2016097394', 'W2018201949', 'W2020661211', 'W2023172395', 'W2024233657', 'W2024934382', 'W2029625543', 'W2030741364', 'W2039930643', 'W2041717909', 'W2046805344', 'W2048630522', 'W2056434135', 'W2057237814', 'W2058785210', 'W2065592277', 'W2068710999', 'W2077835263', 'W2078977693', 'W2082884067', 'W2094817277', 'W2118769530', 'W2134032292', 'W2147697289', 'W2149608872', 'W2163988453', 'W2317982673', 'W2324188776', 'W2941647715', 'W3081347883', 'W4230543970', 'W4231310240', 'W4237377395', 'W4252788673', 'W4254761125', 'W4299927410']"
W2064675550,Long Short-Term Memory,1997,95104,"['W202296964', 'W1674799117', 'W1881179843', 'W1963605035', 'W1971129545', 'W1971209221', 'W1982291194', 'W1984375561', 'W2007431958', 'W2036317923', 'W2048060899', 'W2057653135', 'W2086756055', 'W2103452139', 'W2107878631', 'W2111871983', 'W2114471683', 'W2118127772', 'W2119216348', 'W2121553911', 'W2123716044', 'W2128499899', 'W2129831132', 'W2131387845', 'W2136939460', 'W2143503258', 'W2144001972', 'W2146367896', 'W2154890045', 'W2156960699', 'W2162704388', 'W2165432985', 'W2168934702', 'W4285719527']"
W2055043387,Basic local alignment search tool,1990,93579,"['W1501264308', 'W1501400124', 'W1977618577', 'W1982996449', 'W1985618229', 'W2008610661', 'W2013368806', 'W2015292449', 'W2029195137', 'W2046602549', 'W2054698853', 'W2060951907', 'W2061768801', 'W2074231493', 'W2075773711', 'W2094519647', 'W2113580605', 'W2254148595', 'W2601913882', 'W4236413252', 'W4241051276', 'W4302339081']"
