paper_id,title,year,citation_count,reference_count,references
https://openalex.org/W2194775991,Deep Residual Learning for Image Recognition,2016,217043,81,"['https://openalex.org/W194249466', 'https://openalex.org/W639708223', 'https://openalex.org/W1530872699', 'https://openalex.org/W1533861849', 'https://openalex.org/W1536680647', 'https://openalex.org/W1554663460', 'https://openalex.org/W1665214252', 'https://openalex.org/W1677182931', 'https://openalex.org/W1686810756', 'https://openalex.org/W1690739335', 'https://openalex.org/W1799366690', 'https://openalex.org/W1811843574', 'https://openalex.org/W1836465849', 'https://openalex.org/W1861492603', 'https://openalex.org/W1903029394', 'https://openalex.org/W1904365287', 'https://openalex.org/W1932624639', 'https://openalex.org/W1932847118', 'https://openalex.org/W1976921161', 'https://openalex.org/W1984309565', 'https://openalex.org/W1997542937', 'https://openalex.org/W2022532533', 'https://openalex.org/W2025357764', 'https://openalex.org/W2031489346', 'https://openalex.org/W2064675550', 'https://openalex.org/W2066941820', 'https://openalex.org/W2097117768', 'https://openalex.org/W2102605133', 'https://openalex.org/W2107878631', 'https://openalex.org/W2117539524', 'https://openalex.org/W2117812871', 'https://openalex.org/W2124509324', 'https://openalex.org/W2125930537', 'https://openalex.org/W2139398462', 'https://openalex.org/W2147238549', 'https://openalex.org/W2147800946', 'https://openalex.org/W2152424459', 'https://openalex.org/W2155893237', 'https://openalex.org/W2159979951', 'https://openalex.org/W2161388792', 'https://openalex.org/W2163605009', 'https://openalex.org/W2168894214', 'https://openalex.org/W2179352600', 'https://openalex.org/W2206858481', 'https://openalex.org/W2328425223', 'https://openalex.org/W2613718673', 'https://openalex.org/W2914484425', 'https://openalex.org/W2950094539', 'https://openalex.org/W2950621961', 'https://openalex.org/W2951603627', 'https://openalex.org/W2952009708', 'https://openalex.org/W2962835968', 'https://openalex.org/W2963504252', 'https://openalex.org/W2963542991', 'https://openalex.org/W2964103341', 'https://openalex.org/W2964118293', 'https://openalex.org/W3037950864', 'https://openalex.org/W3038058348', 'https://openalex.org/W3118608800', 'https://openalex.org/W4212915314', 'https://openalex.org/W4231990273', 'https://openalex.org/W4238404964', 'https://openalex.org/W4242212377', 'https://openalex.org/W4285719527', 'https://openalex.org/W4388297464', 'https://openalex.org/W6620707391', 'https://openalex.org/W6626481562', 'https://openalex.org/W6629368666', 'https://openalex.org/W6631943919', 'https://openalex.org/W6637242042', 'https://openalex.org/W6637373629', 'https://openalex.org/W6637551013', 'https://openalex.org/W6638667902', 'https://openalex.org/W6639102338', 'https://openalex.org/W6640036494', 'https://openalex.org/W6676338569', 'https://openalex.org/W6680555419', 'https://openalex.org/W6682359208', 'https://openalex.org/W6684191040', 'https://openalex.org/W6688059459', 'https://openalex.org/W6787972765']"
https://openalex.org/W2107277218,Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2−ΔΔCT Method,2001,178717,12,"['https://openalex.org/W1566892773', 'https://openalex.org/W1756433044', 'https://openalex.org/W1983241347', 'https://openalex.org/W2014588425', 'https://openalex.org/W2069943574', 'https://openalex.org/W2109970232', 'https://openalex.org/W2123325948', 'https://openalex.org/W2128088040', 'https://openalex.org/W2134343377', 'https://openalex.org/W2145879504', 'https://openalex.org/W2164578725', 'https://openalex.org/W4232459722']"
https://openalex.org/W1979290264,Using thematic analysis in psychology,2006,174503,85,"['https://openalex.org/W63354357', 'https://openalex.org/W112543455', 'https://openalex.org/W313817253', 'https://openalex.org/W562316309', 'https://openalex.org/W566876742', 'https://openalex.org/W608867269', 'https://openalex.org/W626432139', 'https://openalex.org/W643364029', 'https://openalex.org/W649187066', 'https://openalex.org/W1505468096', 'https://openalex.org/W1513874694', 'https://openalex.org/W1556808170', 'https://openalex.org/W1557001362', 'https://openalex.org/W1557459633', 'https://openalex.org/W1562475572', 'https://openalex.org/W1563955948', 'https://openalex.org/W1566585837', 'https://openalex.org/W1576460547', 'https://openalex.org/W1580776188', 'https://openalex.org/W1584498776', 'https://openalex.org/W1655340480', 'https://openalex.org/W1658908529', 'https://openalex.org/W1785520540', 'https://openalex.org/W1915092452', 'https://openalex.org/W1936633569', 'https://openalex.org/W1938990613', 'https://openalex.org/W1951008065', 'https://openalex.org/W1965024675', 'https://openalex.org/W1975924558', 'https://openalex.org/W1983513333', 'https://openalex.org/W1987902104', 'https://openalex.org/W1988142773', 'https://openalex.org/W1993209814', 'https://openalex.org/W2005715120', 'https://openalex.org/W2009222294', 'https://openalex.org/W2010381355', 'https://openalex.org/W2015564674', 'https://openalex.org/W2017217481', 'https://openalex.org/W2024228567', 'https://openalex.org/W2027813651', 'https://openalex.org/W2028406607', 'https://openalex.org/W2028834323', 'https://openalex.org/W2031008034', 'https://openalex.org/W2033188470', 'https://openalex.org/W2037687914', 'https://openalex.org/W2048752781', 'https://openalex.org/W2063476230', 'https://openalex.org/W2073846633', 'https://openalex.org/W2083708617', 'https://openalex.org/W2093790434', 'https://openalex.org/W2099844274', 'https://openalex.org/W2106161974', 'https://openalex.org/W2106357576', 'https://openalex.org/W2123828761', 'https://openalex.org/W2133209806', 'https://openalex.org/W2136741619', 'https://openalex.org/W2138502971', 'https://openalex.org/W2149997269', 'https://openalex.org/W2170586945', 'https://openalex.org/W2170816415', 'https://openalex.org/W2292089056', 'https://openalex.org/W2333291448', 'https://openalex.org/W2390008750', 'https://openalex.org/W2502071815', 'https://openalex.org/W2503234244', 'https://openalex.org/W2506528515', 'https://openalex.org/W2740133093', 'https://openalex.org/W2782878764', 'https://openalex.org/W2909113352', 'https://openalex.org/W3014310266', 'https://openalex.org/W3147940169', 'https://openalex.org/W4214539220', 'https://openalex.org/W4231105677', 'https://openalex.org/W4233813450', 'https://openalex.org/W4248970100', 'https://openalex.org/W4285719527', 'https://openalex.org/W4315817451', 'https://openalex.org/W4379793982', 'https://openalex.org/W4404664610', 'https://openalex.org/W6633398628', 'https://openalex.org/W6633896363', 'https://openalex.org/W6640570669', 'https://openalex.org/W6725204990', 'https://openalex.org/W6759588817', 'https://openalex.org/W7055452270']"
https://openalex.org/W2144634347,Molecular Cloning: A Laboratory Manual,1989,129982,0,[]
https://openalex.org/W2911964244,Random Forests,2001,121311,16,"['https://openalex.org/W1507255258', 'https://openalex.org/W1580948147', 'https://openalex.org/W1605688901', 'https://openalex.org/W1975846642', 'https://openalex.org/W2067885219', 'https://openalex.org/W2077200366', 'https://openalex.org/W2099968818', 'https://openalex.org/W2112076978', 'https://openalex.org/W2113242816', 'https://openalex.org/W2120240539', 'https://openalex.org/W2152761983', 'https://openalex.org/W2335925837', 'https://openalex.org/W2912934387', 'https://openalex.org/W3122510419', 'https://openalex.org/W7024935943', 'https://openalex.org/W7025168525']"
https://openalex.org/W2110065044,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995,106515,18,"['https://openalex.org/W1976018371', 'https://openalex.org/W1977833499', 'https://openalex.org/W1997917263', 'https://openalex.org/W2003972391', 'https://openalex.org/W2036714085', 'https://openalex.org/W2054264388', 'https://openalex.org/W2063093012', 'https://openalex.org/W2099107563', 'https://openalex.org/W2103163020', 'https://openalex.org/W2107115446', 'https://openalex.org/W2115012618', 'https://openalex.org/W2121044470', 'https://openalex.org/W2123830992', 'https://openalex.org/W2148483969', 'https://openalex.org/W4205210034', 'https://openalex.org/W4240455808', 'https://openalex.org/W6644864867', 'https://openalex.org/W6678230397']"
https://openalex.org/W2071666535,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,1999,102711,55,"['https://openalex.org/W7600810', 'https://openalex.org/W143399821', 'https://openalex.org/W1967694172', 'https://openalex.org/W1968524945', 'https://openalex.org/W1971410477', 'https://openalex.org/W1972018933', 'https://openalex.org/W1972135487', 'https://openalex.org/W1983098731', 'https://openalex.org/W1989653554', 'https://openalex.org/W1992193527', 'https://openalex.org/W1994263489', 'https://openalex.org/W1999821292', 'https://openalex.org/W2004288406', 'https://openalex.org/W2005092827', 'https://openalex.org/W2006779932', 'https://openalex.org/W2008844726', 'https://openalex.org/W2011267414', 'https://openalex.org/W2013763545', 'https://openalex.org/W2014543370', 'https://openalex.org/W2016097394', 'https://openalex.org/W2018201949', 'https://openalex.org/W2020661211', 'https://openalex.org/W2023172395', 'https://openalex.org/W2024233657', 'https://openalex.org/W2024934382', 'https://openalex.org/W2029625543', 'https://openalex.org/W2030741364', 'https://openalex.org/W2039930643', 'https://openalex.org/W2041717909', 'https://openalex.org/W2046805344', 'https://openalex.org/W2048630522', 'https://openalex.org/W2056434135', 'https://openalex.org/W2057237814', 'https://openalex.org/W2058785210', 'https://openalex.org/W2065592277', 'https://openalex.org/W2068710999', 'https://openalex.org/W2077835263', 'https://openalex.org/W2078977693', 'https://openalex.org/W2082884067', 'https://openalex.org/W2094817277', 'https://openalex.org/W2118769530', 'https://openalex.org/W2134032292', 'https://openalex.org/W2147697289', 'https://openalex.org/W2149608872', 'https://openalex.org/W2163988453', 'https://openalex.org/W2317982673', 'https://openalex.org/W2324188776', 'https://openalex.org/W2941647715', 'https://openalex.org/W3081347883', 'https://openalex.org/W4230543970', 'https://openalex.org/W4231310240', 'https://openalex.org/W4237377395', 'https://openalex.org/W4252788673', 'https://openalex.org/W4254761125', 'https://openalex.org/W4299927410']"
https://openalex.org/W2064675550,Long Short-Term Memory,1997,95104,34,"['https://openalex.org/W202296964', 'https://openalex.org/W1674799117', 'https://openalex.org/W1881179843', 'https://openalex.org/W1963605035', 'https://openalex.org/W1971129545', 'https://openalex.org/W1971209221', 'https://openalex.org/W1982291194', 'https://openalex.org/W1984375561', 'https://openalex.org/W2007431958', 'https://openalex.org/W2036317923', 'https://openalex.org/W2048060899', 'https://openalex.org/W2057653135', 'https://openalex.org/W2086756055', 'https://openalex.org/W2103452139', 'https://openalex.org/W2107878631', 'https://openalex.org/W2111871983', 'https://openalex.org/W2114471683', 'https://openalex.org/W2118127772', 'https://openalex.org/W2119216348', 'https://openalex.org/W2121553911', 'https://openalex.org/W2123716044', 'https://openalex.org/W2128499899', 'https://openalex.org/W2129831132', 'https://openalex.org/W2131387845', 'https://openalex.org/W2136939460', 'https://openalex.org/W2143503258', 'https://openalex.org/W2144001972', 'https://openalex.org/W2146367896', 'https://openalex.org/W2154890045', 'https://openalex.org/W2156960699', 'https://openalex.org/W2162704388', 'https://openalex.org/W2165432985', 'https://openalex.org/W2168934702', 'https://openalex.org/W4285719527']"
https://openalex.org/W2055043387,Basic local alignment search tool,1990,93579,22,"['https://openalex.org/W1501264308', 'https://openalex.org/W1501400124', 'https://openalex.org/W1977618577', 'https://openalex.org/W1982996449', 'https://openalex.org/W1985618229', 'https://openalex.org/W2008610661', 'https://openalex.org/W2013368806', 'https://openalex.org/W2015292449', 'https://openalex.org/W2029195137', 'https://openalex.org/W2046602549', 'https://openalex.org/W2054698853', 'https://openalex.org/W2060951907', 'https://openalex.org/W2061768801', 'https://openalex.org/W2074231493', 'https://openalex.org/W2075773711', 'https://openalex.org/W2094519647', 'https://openalex.org/W2113580605', 'https://openalex.org/W2254148595', 'https://openalex.org/W2601913882', 'https://openalex.org/W4236413252', 'https://openalex.org/W4241051276', 'https://openalex.org/W4302339081']"
https://openalex.org/W1970127494,Projector augmented-wave method,1994,88378,61,"['https://openalex.org/W562642092', 'https://openalex.org/W1030224692', 'https://openalex.org/W1641750576', 'https://openalex.org/W1968545719', 'https://openalex.org/W1968984139', 'https://openalex.org/W1971821930', 'https://openalex.org/W1985915253', 'https://openalex.org/W1988347626', 'https://openalex.org/W1992753351', 'https://openalex.org/W1994260363', 'https://openalex.org/W1997785740', 'https://openalex.org/W2000649820', 'https://openalex.org/W2005174827', 'https://openalex.org/W2010785223', 'https://openalex.org/W2014341412', 'https://openalex.org/W2016759160', 'https://openalex.org/W2017196167', 'https://openalex.org/W2025430787', 'https://openalex.org/W2026907619', 'https://openalex.org/W2027530487', 'https://openalex.org/W2029228724', 'https://openalex.org/W2030976617', 'https://openalex.org/W2032588197', 'https://openalex.org/W2034273838', 'https://openalex.org/W2036801653', 'https://openalex.org/W2039626632', 'https://openalex.org/W2039970342', 'https://openalex.org/W2045162530', 'https://openalex.org/W2045436111', 'https://openalex.org/W2045596260', 'https://openalex.org/W2046001409', 'https://openalex.org/W2052637367', 'https://openalex.org/W2055640329', 'https://openalex.org/W2057056131', 'https://openalex.org/W2058114759', 'https://openalex.org/W2060310070', 'https://openalex.org/W2068134289', 'https://openalex.org/W2073146166', 'https://openalex.org/W2076858582', 'https://openalex.org/W2076968034', 'https://openalex.org/W2077377413', 'https://openalex.org/W2079309236', 'https://openalex.org/W2083277947', 'https://openalex.org/W2084216510', 'https://openalex.org/W2087585288', 'https://openalex.org/W2089986522', 'https://openalex.org/W2090838661', 'https://openalex.org/W2094508448', 'https://openalex.org/W2106140689', 'https://openalex.org/W2115878464', 'https://openalex.org/W2120326715', 'https://openalex.org/W2121431463', 'https://openalex.org/W2145454068', 'https://openalex.org/W2161203696', 'https://openalex.org/W2230728100', 'https://openalex.org/W2316373089', 'https://openalex.org/W2323178299', 'https://openalex.org/W2476895063', 'https://openalex.org/W2495028175', 'https://openalex.org/W4229766111', 'https://openalex.org/W4250857793']"
